text,sentype,SnowNLP,positive_NRC,negative_NRC,anger(3),anticipation(1),disgust(2),fear(5),joy(4),sadness(6),surprise(7),trust
"['这家伙喜眉笑脸地对他悄悄伸出一个大拇指，说：\n', '“好！”\n', '“我担心这小子要和我打架。”\n']",other,0.6558628208940429,1,0,0,1,0,0,1,0,1,1
"['“好！”\n', '“我担心这小子要和我打架。”\n', 'B事后倒有点后悔他刚才的行为了。\n']",陈述句,0.9089567349086412,0,1,0,1,0,1,0,1,0,0
"['A事后倒有点后悔他刚才的行为了。\n', '“他小子敢！”\n', 'B瞪起一双大花眼睛，拳头在空中晃了晃。\n']",other,0.7086114662885121,0,0,0,1,0,0,0,0,0,1
"['“那天，老师没收了你的那本书，叫什么名字？” \n', '“《红岩》。我在县文化馆借的。”\n', '他拿黑面馍的手微微抖着，回答她。\n']",other,0.8810221496069215,0,0,0,0,0,0,0,0,0,1
"['他赶忙说：\n', '“是。后来牺牲了……很悲壮！”\n', '他加添了一个自认为很出色的词，头仍然低着。\n']",是字句,0.9138743848534254,0,1,0,0,1,1,0,1,0,0
"['她又说。\n', '“你也看过这书？”\n', '他现在才敢抬起眼皮看了她一眼。\n']",比较句,0.6812382882527875,0,0,0,0,0,0,0,0,0,0
"['“我没看过。以前听我爸说过里面的故事。” \n', '“你爸？你爸看过？” \n', '“嗯。” \n']",other,0.8668820609475596,0,0,0,0,0,0,0,0,0,0
"['“嗯。” \n', '“你爸在？……”\n', 'A显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。\n']",other,0.865131601709107,0,0,0,0,0,0,0,0,0,0
"['A显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。\n', '“我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” \n', '“那你爸上过学？” \n']",是字句,0.921658749706021,0,1,0,0,0,0,0,0,0,0
"['“我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” \n', '“那你爸上过学？” \n', '“我爸没上过。\n']",other,0.8403582121334072,0,0,0,0,0,0,0,0,0,0
"['她突然红着脸说：\n', '“你的书还了没有？” \n', '他说：\n']",存在句,0.6696636688165123,0,0,0,0,0,0,0,0,0,0
"['他说：\n', '“还没。” \n', '“能不能借我看一下？” \n']",other,0.3998386640577172,0,0,0,0,0,0,0,0,0,0
"['“还没。” \n', '“能不能借我看一下？” \n', '“能！”\n']",正反问句,0.6075832049098017,0,0,0,1,0,1,0,0,0,0
"['“能不能借我看一下？” \n', '“能！”\n', '他爽快地回答。\n']",other,0.5262327818078083,0,0,0,0,0,0,0,0,0,0
"['好不容易熬到快要收工的时候，他们村的B突然来到他眼前，说：\n', '“A，我姐中午来找我，说让我把你带上，下午到我二爸家去一下。她说有个事要给你说。我姐还说让你下午别在学校灶上吃，到我二爸家去吃饭……。”\n', 'B说完这话，就又回到他挖地的地方去了。\n']",把字句,0.9112411502611074,2,0,0,0,0,0,0,0,0,1
"['倒是B走上前来，仍然笑着说：\n', '“我让田润生叫你到我二爸家去，你怎么不来呢？”\n', '“我……”\n']",陈述句,0.7389184704840435,0,0,0,0,0,0,0,0,0,0
"['“我让田润生叫你到我二爸家去，你怎么不来呢？”\n', '“我……”\n', '他不知说什么才对。\n']",other,0.6382252559726964,0,0,0,0,0,0,0,0,0,0
"['B敏捷地一把从他手里夺过那两个黑馍，问：\n', '“哪个是你的碗？” \n', '他指了指自己的碗。\n']",疑问词问句,0.44067796610169496,0,0,0,0,0,0,0,0,0,0
"['她把馍放在他碗里，说：\n', '“走，跟我吃饭去！”“我……” \n', 'B已经过来，扯着他的袖口拉他了。\n']",other,0.660683304207846,0,0,0,0,0,0,0,0,0,0
"['A跟C进了她二爸家的院子，B走过来对他说：\n', '“我到宿舍找了你两回，你到哪里去了？” \n', 'A有点不好意思，说：\n']",疑问词问句,0.2572338353770435,0,0,0,0,0,0,0,0,0,0
"['A有点不好意思，说：\n', '“我……去给学校还镢头去了。”\n', '他一边撒谎，一边瞥了一眼这家著名人物的院子：\n']",陈述句,0.9664931086472013,1,0,0,0,0,0,0,0,0,1
"['她亲切地用手碰了碰他的胳膊，说：\n', '“快坐下吃！我们已经吃过了，你吃你的，我出去刷一下碗筷。不要怕，好好吃，我知道你在学校吃不好……”\n', '她拿着木盘出去了。\n']",other,0.6573873216182677,6,1,0,1,0,0,1,0,1,3
"['A对他说：\n', '“这是田晓霞，我二爸的女子。你不认识？她也是才上高中的。” \n', '“你和田润生是一个班的吧？”\n']",比较句,0.8772859221277581,0,0,0,0,0,0,0,0,0,0
"['“这是B，我二爸的女子。你不认识？她也是才上高中的。” \n', '“你和田润生是一个班的吧？”\n', 'B大方地问他。\n']",是字句,0.7482230746545341,0,0,0,0,0,0,0,0,0,0
"['C大方地问他。\n', '“嗯……”\n', 'A一下子感到脸象炭火一般发烫。\n']",other,0.6382252559726964,0,0,0,0,0,0,0,0,0,0
"['等C把他的碗筷送到厨房重新返回来的时候，他赶快对她说：\n', '“姐，没什么事我就走呀……” \n', 'C大概也看出了他的窘迫，笑着说：\n']",疑问词问句,0.522211465897548,0,0,0,0,0,0,0,0,0,0
"['C大概也看出了他的窘迫，笑着说：\n', '“我还没跟你说话呢！” \n', 'A这才想起，C不光是叫他来吃饭的，她还有事要给他说哩！\n']",陈述句,0.33954654141513174,0,0,0,0,0,0,0,0,0,0
"['B看来很理解他的难处，马上又说：\n', '“那好，我去送送你，咱们路上再说。” \n', '“喝点水再走吧！”\n']",陈述句,0.6898499137639581,0,0,0,0,0,0,0,0,0,0
"['“那好，我去送送你，咱们路上再说。” \n', '“喝点水再走吧！”\n', 'C把水杯往他面前挪了挪。\n']",other,0.4429477021590277,0,0,0,0,0,0,0,0,0,0
"['C把水杯往他面前挪了挪。\n', '“我不渴！”\n', '他象农民一样笨拙地说。\n']",陈述句,0.3452787547128301,0,0,0,0,0,0,0,0,0,0
"['C露出两排白牙齿笑了，说：\n', '“那我这杯水算是给你白倒了！” \n', 'A立刻意识到这是一句略带揶揄意味的玩笑话。\n']",other,0.25678628578095997,1,0,0,0,0,0,0,0,0,0
"['B认识C她二爸——他有时路过常回村子里来。\n', '“你还没吃饭哩？”\n', 'C问她二爸。\n']",陈述句,0.3350257734515616,0,0,0,0,0,0,0,0,0,0
"['C问她二爸。\n', '“刚开完会……”\n', '这位县领导五官很象他哥E，只是头发背梳着，脸面也比他哥和善多了。\n']",other,0.6173606835322957,0,0,0,0,0,0,0,0,0,0
"['这位县领导五官很象他哥E，只是头发背梳着，脸面也比他哥和善多了。\n', '“这是谁家的娃娃？”\n', 'A指着他问C。\n']",疑问词问句,0.4737672181921917,0,0,0,0,0,0,1,0,0,0
"['A指着他问C。\n', '“这就是咱村孙少安他弟弟嘛！也是今年才上的高中……”\n', 'C说。\n']",比较句,0.8491120347141229,0,0,0,0,0,0,0,0,0,0
"['C说。\n', '“噢……孙玉厚的二小子！都长这么大了。和你爸一样，大个子！……是不是和田晓霞一个班？”\n', '他扭头问C。\n']",正反问句,0.6932369585005098,1,0,0,1,1,0,0,0,1,1
"['他扭头问B。\n', '“和田晓霞不一个班，和田润生是一个班。”\n', 'B回答他。\n']",是字句,0.9281394595645471,0,0,0,0,0,0,0,0,0,0
"['B拘束地抠着手指头，说：\n', '“还有金波。” \n', '“金波？他的娃娃……” \n']",other,0.9278251456253869,0,0,0,0,0,0,0,0,0,0
